Sección	Palabra/Frase	Detalles
Tipos de Aperturas	Huecos	"<div style=""text-align: left; width: 100%;"">• <b>Clasificación por origen</b>:<br> - <b>Agujero</b>: Apertura completa que atraviesa (general)<br> - <b>Hoyo</b>: Concavidad en superficie, generalmente suelo (tierra, construcción)<br> - <b>Orificio</b>: Pequeña abertura, a menudo natural o técnica (biología, técnica)<br> - <b>Cavidad</b>: Espacio hueco dentro de algo sólido (geología, anatomía)<br><br>• <b>Verbos para crear huecos</b>:<br> - <b>Perforar</b>: ""Perforar una pared para pasar cables""<br> - <b>Agujerear</b>: ""La polilla agujereó la ropa""<br> - <b>Taladrar</b>: ""Taladrar la madera para el tornillo""<br> - <b>Excavar</b>: ""Excavar un foso alrededor del castillo""<br><br>• <b>Verbos para cerrar huecos</b>:<br> - <b>Tapar</b>: ""Tapar el agujero con masilla""<br> - <b>Rellenar</b>: ""Rellenar el bache con asfalto""<br> - <b>Sellar</b>: ""Sellar las grietas para evitar filtraciones""</div>"
Verbos de Colisión	Estrellarse vs. Chocar	"<div style=""text-align: left; width: 100%;"">• <b>Diferencias principales</b>:<br> - <b>Estrellarse</b>: Colisión violenta donde un objeto se rompe o destruye<br> - <b>Chocar</b>: Impacto entre objetos, no necesariamente destructivo<br><br>• <b>Contextos de ""estrellarse""</b>:<br> - <b>Vehículos (grave)</b>: ""El avión se estrelló en la montaña""<br> - <b>Objetos frágiles</b>: ""El vaso se estrelló contra el suelo""<br> - <b>Metafórico (fracaso)</b>: ""Sus sueños se estrellaron contra la realidad""<br> - <b>Informática</b>: ""El programa se estrelló"" (dejó de funcionar)<br><br>• <b>Contextos de ""chocar""</b>:<br> - <b>Vehículos (menos grave)</b>: ""Los coches chocaron en el cruce""<br> - <b>Personas</b>: ""Chocó con un transeúnte en la calle""<br> - <b>Metafórico (confrontación)</b>: ""Sus ideas chocan constantemente""</div>"
Expresiones Temporales	Los últimos dos días vs. Los dos días anteriores	"<div style=""text-align: left; width: 100%;"">• <b>Diferencias principales</b>:<br> - <b>Los últimos dos días</b>: Incluye el día actual o de referencia (hoy es miércoles → lunes y martes)<br> - <b>Los dos días anteriores</b>: Desde antes del día actual (hoy es miércoles → lunes y domingo)<br><br>• <b>Otras expresiones de pasado reciente</b>:<br> - <b>Ayer y anteayer</b>: Exactamente los dos días previos (muy alta precisión)<br> - <b>Estos días</b>: Periodo indefinido reciente (baja precisión)<br> - <b>La semana pasada</b>: Los 7 días anteriores a esta semana (alta precisión)<br> - <b>Hace un par de días</b>: Aproximadamente dos días atrás (media precisión)<br> - <b>Hace poco</b>: Tiempo reciente indeterminado (muy baja precisión)</div>"
Agricultura	Cereales y cultivos	"<div style=""text-align: left; width: 100%;"">• <b>Cereales básicos</b>:<br> - <b>Trigo</b>: Versátil, alto en gluten (pan, pasta, repostería)<br> - <b>Maíz</b>: Originario de América, versátil (tortillas, piensos)<br> - <b>Arroz</b>: Base alimentaria para billones (plato principal, guarnición)<br> - <b>Cebada</b>: Resistente, diversos climas (cerveza, piensos, sopas)<br> - <b>Avena</b>: Nutritiva, alto contenido fibra (cereales desayuno)<br><br>• <b>Terminología relacionada</b>:<br> - <b>Cereal</b>: Plantas de la familia de las gramíneas cultivadas por sus granos<br> - <b>Grano</b>: Semilla comestible de estas plantas<br> - <b>Espiga</b>: Estructura que contiene los granos en trigo, cebada<br> - <b>Mazorca</b>: Estructura que contiene los granos de maíz<br><br>• <b>Productos derivados</b>:<br> - <b>Harinas</b>: Base para pan, pasta, repostería<br> - <b>Aceites</b>: Especialmente de maíz y soja<br> - <b>Almidones</b>: Espesantes, industria alimentaria</div>"
Expresiones Formales	Yo le hago saber vs. Yo le aviso	"<div style=""text-align: left; width: 100%;"">• <b>Diferencias principales</b>:<br> - <b>""Yo le hago saber""</b>: Formal, oficial, comunicaciones escritas y empresariales<br> - <b>""Yo le aviso""</b>: Informal, cotidiano, conversaciones diarias<br><br>• <b>Situaciones apropiadas para ""Yo le hago saber""</b>:<br> - <b>Comunicaciones formales escritas<br> - Notificaciones oficiales<br> - Entornos profesionales y corporativos<br> - Ejemplo</b>: ""Yo le hago saber que su solicitud ha sido aprobada""<br><br>• <b>Situaciones apropiadas para ""Yo le aviso""</b>:<br> - <b>Conversaciones cotidianas<br> - Recordatorios informales<br> - Entorno familiar o entre amigos<br> - Ejemplo</b>: ""Yo le aviso cuando llegue el pedido""</div>"
Lenguaje Infantil	Barriguita y diminutivos	"<div style=""text-align: left; width: 100%;"">• <b>Barriguita</b>: Diminutivo afectivo de ""barriga"" (vientre)<br> - <b>Contexto</b>: ""La mamá está sobando la barriguita del bebé""<br> - <b>Connotación</b>: Ternura, afecto, cuidado<br><br>• <b>Otros diminutivos para bebés</b>:<br> - <b>Manita (mano)</b>: ""¡Qué manitas tan pequeñas!""<br> - <b>Piecito (pie)</b>: ""¡Mira qué piecitos tan gorditos!""<br> - <b>Cabecita (cabeza)</b>: ""Sostén su cabecita con cuidado""<br> - <b>Boquita (boca)</b>: ""Abre la boquita para comer""<br><br>• <b>Objetos específicos para bebés</b>:<br> - <b>Sonajero</b>: Juguete que hace ruido al agitarlo<br> - <b>Chupete/Chupón</b>: Pieza de silicona para succionar<br> - <b>Babero</b>: Tela para proteger la ropa<br> - <b>Mordedor</b>: Juguete para aliviar encías</div>"
Verbos de Acción	Morder	"<div style=""text-align: left; width: 100%;"">• <b>Significados principales</b>:<br> - <b>Personas</b>: Apretar con los dientes (""El niño mordió la manzana"")<br> - <b>Animales</b>: Acción defensiva u ofensiva (""El perro mordió al cartero"")<br> - <b>Objetos</b>: Sujeción o agarre metafórico (""Los frenos muerden el disco"")<br><br>• <b>Expresiones específicas</b>:<br> - <b>""Dar un mordisco""</b>: Morder una vez algo comestible<br> - <b>""Morderse la lengua""</b>: Contenerse de hablar<br> - <b>""Morder el anzuelo""</b>: Caer en una trampa<br> - <b>""Morder el polvo""</b>: Ser derrotado<br><br>• <b>Términos relacionados</b>:<br> - <b>Mordisco</b>: Acción de morder<br> - <b>Mordedura</b>: Herida producida al morder<br> - <b>Mordisquear</b>: Morder repetidamente y con suavidad</div>"
Gradación de Dificultad	Retos, desafíos y pruebas	"<div style=""text-align: left; width: 100%;"">• <b>Comparación según intensidad</b>:<br> - <b>Ejercicio</b>: Nivel bajo, contexto educativo (práctica, desarrollo)<br> - <b>Tarea</b>: Nivel bajo-medio, contexto educativo/laboral (obligación, rutina)<br> - <b>Prueba</b>: Nivel medio, contexto evaluativo (evaluación, verificación)<br> - <b>Reto</b>: Nivel medio-alto, contexto personal (superación, estímulo)<br> - <b>Desafío</b>: Nivel alto, contexto competitivo (confrontación, audacia)<br><br>• <b>Verbos relacionados</b>:<br> - <b>Retar</b>: Más lúdico o educativo (""Lo retó a resolver el problema"")<br> - <b>Desafiar</b>: Más serio, implica confrontación (""Desafió la autoridad"")<br> - <b>Probar(se)</b>: Evaluar capacidad (""Se probó en una competición difícil"")<br> - <b>Superar(se)</b>: Ir más allá de límites (""Superó todos los obstáculos"")</div>"
Gradación de Humedad	Mojar, empapar	"<div style=""text-align: left; width: 100%;"">• <b>Escala de intensidad</b>:<br> - <b>Humedecer</b>: Grado mínimo, contexto de precisión/cuidado (""Humedecer los labios"")<br> - <b>Rociar</b>: Superficial/disperso, contexto de plantas/cocina (""Rociar las plantas"")<br> - <b>Mojar</b>: Moderado, contexto general (""Mojarse con la lluvia"")<br> - <b>Empapar</b>: Saturación completa, contexto intenso (""Empapado hasta los huesos"")<br> - <b>Encharcar</b>: Formación de charcos, exceso de líquido (""El jardín se encharcó"")<br><br>• <b>Contextos específicos</b>:<br> - <b>Mojar (intencionado)</b>: ""Mojar el pan en la salsa""<br> - <b>Empapar (absorción completa)</b>: ""La toalla empapó todo el líquido""<br><br>• <b>Otros verbos relacionados</b>:<br> - <b>Remojar</b>: Mantener en líquido por tiempo<br> - <b>Escurrir</b>: Eliminar exceso de líquido<br> - <b>Gotear</b>: Caer líquido en gotas</div>"
Polisemia Regional	Cuca	"<div style=""text-align: left; width: 100%;"">• <b>Significados principales por región</b>:<br> - <b>Colombia</b>: Insecto/cucaracha (coloquial)<br> - <b>Venezuela</b>: Vagina (vulgar)<br> - <b>Chile</b>: Pastel pequeño (gastronomía)<br> - <b>España</b>: Cabeza - <b>coloquial<br> - R. Dominicana</b>: Dulce de coco (gastronomía)<br> - <b>México</b>: Apodo cariñoso para María Refugio (familiar)<br> - <b>Argentina</b>: Mujer atractiva - <b>lunfardo (argot)<br><br>• Consideraciones de uso</b>:<br> - <b>Alta variabilidad regional</b>: Significado cambia drásticamente<br> - <b>Potencial vulgaridad</b>: En algunos contextos es término vulgar<br> - <b>Precaución recomendada</b>: Evitar en comunicación formal</div>"
Tipos de Diminutivos	Chistosito vs. Barriguita	"<div style=""text-align: left; width: 100%;"">• <b>Chistosito/Graciosito (irónico)</b>:<br> - <b>Función</b>: Ironía, desaprobación leve de comportamiento<br> - <b>Tono</b>: Generalmente crítico o sarcástico<br> - <b>Contexto</b>: Cuando alguien hace bromas inapropiadas<br> - <b>Ejemplo</b>: ""El chistosito de la clase siempre interrumpe""<br><br>• <b>Barriguita (afectivo)</b>:<br> - <b>Función</b>: Expresar ternura, cariño<br> - <b>Tono</b>: Dulce, afectuoso<br> - <b>Contexto</b>: Bebés, niños pequeños, mascotas<br> - <b>Ejemplo</b>: ""La barriguita del bebé""<br><br>• <b>Tipos de diminutivos</b>:<br> - <b>Afectivos</b>: Expresan cariño (""abuelita"")<br> - <b>Atenuantes</b>: Suavizan peticiones (""un momentito"")<br> - <b>Irónicos</b>: Expresan crítica disfrazada (""listillo"")<br> - <b>De tamaño</b>: Indican menor dimensión (""mesita"")</div>"
Medidas Culinarias	Una pizca de sal	"<div style=""text-align: left; width: 100%;"">• <b>Medidas indefinidas</b>:<br> - <b>Pizca</b>: Mínima, lo que se toma con dos dedos (condimentos, especias)<br> - <b>Puñado</b>: Lo que cabe en una mano (ingredientes sólidos pequeños)<br> - <b>Chorrito</b>: Pequeña cantidad de líquido vertido (aceite, vino, salsas)<br> - <b>Cucharadita</b>: 5 ml aproximadamente (especias, azúcar, levadura)<br> - <b>Cucharada</b>: 15 ml aproximadamente (harinas, aceites, mantequilla)<br><br>• <b>""Una pizca"" de diferentes ingredientes</b>:<br> - <b>Sal</b>: Ajuste final de sabor<br> - <b>Pimienta</b>: Toque de picante suave<br> - <b>Nuez moscada</b>: Aroma en salsas y bechamel<br><br>• <b>Metáforas con ""pizca""</b>:<br> - <i>""Una pizca de paciencia""</i> (un poco)<br> - <i>""Le falta una pizca de creatividad""</i> (pequeña cantidad)</div>"
Terminología Gastronómica	Bocado	"<div style=""text-align: left; width: 100%;"">• <b>Términos relacionados según tamaño</b>:<br> - <b>Bocado</b>: Estándar, contexto general, registro neutro (""Un bocado de pan"")<br> - <b>Mordisco</b>: Variable, acción de morder, registro neutro (""Dar un mordisco a la manzana"")<br> - <b>Bocadito</b>: Pequeño, recepciones/aperitivos, registro formal-neutro (""Bocaditos para la fiesta"")<br> - <b>Pincho</b>: Pequeño en palillo, tapas/aperitivos, registro gastronómico (""Pinchos de tortilla"")<br> - <b>Canapé</b>: Muy pequeño, eventos formales, registro formal (""Canapés elegantes"")<br><br>• <b>Expresiones con ""bocado""</b>:<br> - <b>""Bocado exquisito""</b>: Algo delicioso<br> - <b>""No probar bocado""</b>: No comer nada<br> - <b>""Ser un bocado difícil de tragar""</b>: Algo difícil de aceptar</div>"
Terminología Financiera	Cobro	"<div style=""text-align: left; width: 100%;"">• <b>Significado básico</b>: Acción de recibir dinero por un servicio, producto o deuda<br><br>• <b>Traducción</b>: Collection, payment, charge<br><br>• <b>Contextos de uso</b>:<br> - <b>Comercial</b>: ""El cobro de la factura"" (The collection of the invoice)<br> - <b>Bancario</b>: ""Pasar al cobro un cheque"" (To cash a check)<br> - <b>Laboral</b>: ""Día de cobro"" (Payday)<br> - <b>Vengativo (figurado)</b>: ""Tomarse algo como un cobro"" (To take something as payback)<br><br>• <b>Expresiones relacionadas</b>:<br> - <b>""Pasar al cobro""</b>: Exigir el pago de una deuda (To demand payment)<br> - <b>""Poner al cobro""</b>: Iniciar el proceso de recaudación (To start collection process)<br> - <b>""Pendiente de cobro""</b>: Pago que aún no se ha recibido (Pending payment)</div>"
Terminología Administrativa	Fichas	"<div style=""text-align: left; width: 100%;"">• <b>Significados principales</b>:<br> - <b>Expediente/registro</b>: ""Ficha médica del paciente"" (Patient's medical record)<br> - <b>Pieza de juego</b>: ""Mover una ficha en el tablero"" (Move a piece on the board)<br> - <b>Token/moneda</b>: ""Comprar fichas para el casino"" (Buy tokens for the casino)<br> - <b>Reseña/resumen</b>: ""Ficha bibliográfica"" (Bibliographic record)<br> - <b>Formulario</b>: ""Rellenar la ficha de inscripción"" (Fill out the registration form)<br><br>• <b>Contextos específicos</b>:<br> - <b>Administrativo</b>: ""Ficha de cliente"" (Customer record)<br> - <b>Médico</b>: ""Ficha clínica"" (Clinical record)<br> - <b>Educativo</b>: ""Ficha académica"" (Academic record)<br><br>• <b>Expresiones relacionadas</b>:<br> - <b>""Abrir una ficha""</b>: Crear un nuevo registro (Create a new record)<br> - <b>""Fichar a alguien""</b>: En deportes, contratar; registrar entrada/salida laboral (To sign someone; to clock in/out)</div>"
Verbos de Deseo	Anhelar	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Desear profundamente algo, generalmente inalcanzable o distante<br><br>• <b>Traducción</b>: To long for, to yearn for<br><br>• <b>Nivel de intensidad</b>: Medio-alto<br><br>• <b>Registro</b>: Formal, literario<br><br>• <b>Contextos</b>:<br> - <b>Literario/poético</b>: ""Anhelo que vuelvas a mis brazos"" (I long for you to return to my arms)<br> - <b>Formal/emotivo</b>: ""Los padres anhelan que sus hijos tengan éxito"" (Parents yearn for their children to succeed)<br><br>• <b>Construcciones</b>:<br> - <b>Con sustantivo</b>: ""Anhelar la libertad"" (To long for freedom)<br> - <b>Con infinitivo</b>: ""Anhelo verte"" (I long to see you)<br> - <b>Con subjuntivo</b>: ""Anhelo que comprendas mi situación"" (I long for you to understand my situation)</div>"
Verbos de Deseo	Rogar	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Pedir con insistencia y humildad<br><br>• <b>Traducción</b>: To beg, to plead<br><br>• <b>Nivel de intensidad</b>: Alto<br><br>• <b>Registro</b>: Formal, religioso<br><br>• <b>Contextos</b>:<br> - <b>Religioso</b>: ""Rogamos que Dios nos bendiga"" (We pray that God blesses us)<br> - <b>Formal/carta</b>: ""Le ruego que considere mi solicitud"" (I beg you to consider my request)<br> - <b>Cartas formales</b>: ""Le ruego confirme su asistencia"" (I kindly ask you to confirm your attendance)<br><br>• <b>Construcciones</b>:<br> - <b>Con subjuntivo</b>: ""Ruego que me escuches"" (I beg that you listen to me)<br> - <b>Con preposición</b>: ""Rogar por alguien"" (To pray for someone)<br> - <b>En imperativo</b>: ""Ruégale que venga"" (Beg him/her to come)</div>"
Verbos de Deseo	Suplicar	"<div style=""text-align: left; width: 100%;"">• <b>Significado</b>: Pedir con extrema humildad, sumisión o desesperación<br><br>• <b>Traducción</b>: To implore, to beseech<br><br>• <b>Nivel de intensidad</b>: Muy alto<br><br>• <b>Registro</b>: Dramático, extremo<br><br>• <b>Contextos</b>:<br> - <b>Situaciones extremas</b>: ""Te suplico que me ayudes, es vida o muerte"" (I implore you to help me, it's life or death)<br> - <b>Dramático</b>: ""El acusado suplicó que tuvieran misericordia"" (The accused begged for mercy)<br><br>• <b>Construcciones</b>:<br> - <b>Con subjuntivo</b>: ""Suplico que me perdones"" (I beg that you forgive me)<br> - <b>Con preposición</b>: ""Suplicar por clemencia"" (To beg for mercy)<br> - <b>Con infinitivo</b>: ""Te suplico perdonarme"" (I beg you to forgive me)</div>"
Patrones con Indicativo/Subjuntivo	Verbos de percepción	"<div style=""text-align: left; width: 100%;"">• <b>Con indicativo (afirmación)</b>:<br> - <b>""Veo que está lloviendo"" (I see it's raining)<br><br>• Con subjuntivo (negación)</b>:<br> - <b>""No veo que esté lloviendo"" (I don't see that it's raining)<br><br>• Ejemplos adicionales</b>:<br> - <i>""Noto que hay un error""</i> / ""No noto que haya un error""<br> - <i>""Siento que me duele""</i> / ""No siento que me duela""</div>"
Patrones con Indicativo/Subjuntivo	Verbos de pensamiento	"<div style=""text-align: left; width: 100%;"">• <b>Con indicativo (afirmación)</b>:<br> - <b>""Creo que es importante"" (I believe it's important)<br><br>• Con subjuntivo (negación)</b>:<br> - <b>""No creo que sea importante"" (I don't think it's important)<br><br>• Ejemplos adicionales</b>:<br> - <i>""Pienso que tiene razón""</i> / ""No pienso que tenga razón""<br> - <i>""Considero que funciona""</i> / ""No considero que funcione""</div>"
Patrones con Indicativo/Subjuntivo	Verbos de comunicación	"<div style=""text-align: left; width: 100%;"">• <b>Con indicativo (información objetiva)</b>:<br> - <b>""Dice que está enfermo"" (He says he's sick)<br><br>• Con subjuntivo (influencia)</b>:<br> - <b>""Dice que vengamos pronto"" (He says we should come soon)<br><br>• Ejemplos adicionales</b>:<br> - <i>""Informa que hay cambios""</i> / ""Ordena que hagamos cambios""<br> - <i>""Comunica que llega tarde""</i> / ""Sugiere que lleguemos temprano""</div>"
Patrones con Indicativo/Subjuntivo	Verbos de emoción	"<div style=""text-align: left; width: 100%;"">• <b>Siempre con subjuntivo</b>:<br> - <b>""Me alegro de que estés aquí"" (I'm glad you're here)<br><br>• Ejemplos adicionales</b>:<br> - <i>""Siento que tengas que irte""</i> (I'm sorry you have to leave)<br> - <i>""Espero que te mejores""</i> (I hope you get better)<br> - <i>""Me sorprende que sepas tanto""</i> (I'm surprised you know so much)<br> - <i>""Lamento que no puedas venir""</i> (I regret that you can't come)</div>"
Patrones Gramaticales	Estar decidido vs. Ser decidido	"<div style=""text-align: left; width: 100%;"">• <b>Estar + adjetivo (estado temporal)</b>:<br> - <b>""Él está decidido a salir"" (He is determined to go out)<br> - Significado</b>: Determinación temporal<br> - <b>Permanencia</b>: Temporal<br><br>• <b>Ser + sustantivo/adjetivo (característica permanente)</b>:<br> - <b>""Él es un hombre decidido"" (He is a decisive man)<br> - Significado</b>: Característica personal<br> - <b>Permanencia</b>: Permanente</div>"
Patrones Gramaticales	Estar + adjetivo vs. Ser + adjetivo	"<div style=""text-align: left; width: 100%;"">• <b>Estar + adjetivo (estado)</b>:<br> - <b>""Está preparado para el examen"" (He is prepared for the exam - state)<br> - <i>""Está dispuesto a ayudar""</i> (He is willing to help - current attitude)<br> - <i>""Está interesado en el proyecto""</i> (He is interested in the project - specific interest)<br><br>• Ser + adjetivo (cualidad)</b>:<br> - <i>""Es una persona preparada""</i> (He is a prepared person - characteristic)<br> - <i>""Es un empleado dispuesto""</i> (He is a willing employee - trait)<br> - <i>""Es un estudiante interesado""</i> (He is an interested student - general quality)</div>"
Verbos de Posicionamiento	Meter	"<div style=""text-align: left; width: 100%;"">• <b>Significado principal</b>: Introducir en un espacio interior<br><br>• <b>Traducción</b>: To put in, to insert<br><br>• <b>Registro</b>: Informal/neutro<br><br>• <b>Ejemplos</b>:<br> - <b>""Meter la ropa en el armario"" (Put the clothes in the closet)<br> - <i>""Meter las manos en los bolsillos""</i> (Put hands in pockets)<br><br>• Matices</b>: Énfasis en interior, a veces brusco<br><br>• <b>Usos coloquiales</b>:<br> - <i>""Meterse en problemas""</i> (To get into trouble)<br> - <i>""No metas la pata""</i> (Don't mess up)</div>"
