Sección,Palabra/Frase,Detalles
Patrones con Indicativo/Subjuntivo,Verbos de emoción,"• Siempre con subjuntivo:<br> - ""Me alegro de que estés aquí"" (I'm glad you're here)<br>• Ejemplos adicionales:<br> - ""Siento que tengas que irte"" (I'm sorry you have to leave)<br> - ""Espero que te mejores"" (I hope you get better)<br> - ""Me sorprende que sepas tanto"" (I'm surprised you know so much)<br> - ""Lamento que no puedas venir"" (I regret that you can't come)"
Patrones Gramaticales,Estar decidido vs. Ser decidido,"• Estar + adjetivo (estado temporal):<br> - ""Él está decidido a salir"" (He is determined to go out)<br> - Significado: Determinación temporal<br> - Permanencia: Temporal<br>• Ser + sustantivo/adjetivo (característica permanente):<br> - ""Él es un hombre decidido"" (He is a decisive man)<br> - Significado: Característica personal<br> - Permanencia: Permanente"
Patrones Gramaticales,Estar + adjetivo vs. Ser + adjetivo,"• Estar + adjetivo (estado):<br> - ""Está preparado para el examen"" (He is prepared for the exam - state)<br> - ""Está dispuesto a ayudar"" (He is willing to help - current attitude)<br> - ""Está interesado en el proyecto"" (He is interested in the project - specific interest)<br>• Ser + adjetivo (cualidad):<br> - ""Es una persona preparada"" (He is a prepared person - characteristic)<br> - ""Es un empleado dispuesto"" (He is a willing employee - trait)<br> - ""Es un estudiante interesado"" (He is an interested student - general quality)"
Verbos de Posicionamiento,Meter,"• Significado principal: Introducir en un espacio interior<br>• Traducción: To put in, to insert<br>• Registro: Informal/neutro<br>• Ejemplos:<br> - ""Meter la ropa en el armario"" (Put the clothes in the closet)<br> - ""Meter las manos en los bolsillos"" (Put hands in pockets)<br>• Matices: Énfasis en interior, a veces brusco<br>• Usos coloquiales:<br> - ""Meterse en problemas"" (To get into trouble)<br> - ""No metas la pata"" (Don't mess up)"
Verbos de Posicionamiento,Colocar,"• Significado principal: Situar con cuidado o precisión<br>• Traducción: To place, to position carefully<br>• Registro: Formal/cuidadoso<br>• Ejemplos:<br> - ""Colocar el florero en el centro"" (Place the vase in the center)<br> - ""Colocar las piezas del rompecabezas"" (Place the puzzle pieces)<br>• Matices: Implica orden, cuidado, exactitud<br>• Contextos:<br> - Profesional: ""Colocar al paciente en posición correcta""<br> - Laboral: ""Colocarse en un buen puesto"" (get a good job)"
Verbos de Posicionamiento,Poner,"• Significado principal: Situar algo en algún lugar (general)<br>• Traducción: To put, to place<br>• Registro: Neutro/versátil<br>• Ejemplos:<br> - ""Poner el libro en la mesa"" (Put the book on the table)<br> - ""Poner la mesa"" (Set the table)<br> - ""Poner música"" (Turn on music)<br>• Matices: Término más general y versátil<br>• Usos extendidos:<br> - Añadir: ""Poner sal a la comida"" (Add salt to the food)<br> - Expresiones: ""Poner cara de sorpresa"" (Make a surprised face)"
Términos Culinarios,Dorar,"• Significado: Dar color dorado a un alimento mediante calor<br>• Traducción: To brown, to sear, to toast<br>• Aplicaciones:<br> - Carne: ""Dorar el bistec por ambos lados"" (Sear the steak on both sides)<br> - Masa: ""Dorar la empanada en el horno"" (Brown the empanada in the oven)<br> - Cebolla: ""Dorar la cebolla hasta que esté transparente"" (Brown the onion until translucent)<br>• Técnicas:<br> - ""Dorar por etapas"": Dorar distintos ingredientes secuencialmente<br> - ""Dorar al horno"": Usar el horno para dorar<br> - ""Dorar con mantequilla"": Usar mantequilla como medio"
Términos Culinarios,Términos relacionados con dorar,"• Sellar: Primer paso, alta temperatura, tiempo breve (To sear)<br>• Tostar: Más intenso que dorar, mayor deshidratación (To toast)<br>• Gratinar: Dorar superficie con calor superior (To broil, to gratinate)<br>• Caramelizar: Proceso donde los azúcares se doran intensamente (To caramelize)<br>• Socarrar: Dorar intensamente, casi quemar - regional (To char)"
Términos de Procesamiento,Moler,"• Significado: Reducir algo a polvo o pequeñas partículas usando presión y fricción<br>• Traducción: To grind<br>• Contextos específicos:<br> - Café: ""Moler granos de café para espresso"" (Grind coffee beans for espresso)<br> - Cocina: ""Moler especias en el mortero"" (Grind spices in the mortar)<br> - Cereales: ""Moler el trigo para hacer harina"" (Grind wheat to make flour)<br> - Carne: ""Moler carne para hamburguesas"" (Grind meat for hamburgers)<br>• Aclaración sobre café: Moler café (grind coffee) ≠ Preparar café (brew coffee)"
Términos de Procesamiento,Términos relacionados con moler,"• Molienda: Proceso de moler (Grinding)<br>• Molido/a: Participio y producto resultante (Ground)<br> - ""Café molido"" (Ground coffee)<br> - ""Pimienta molida"" (Ground pepper)<br>• Molino: Aparato para moler (Mill, grinder)<br> - ""Molino de café"" (Coffee grinder)<br> - ""Molino de viento"" (Windmill)"
Propiedades Físicas,Grosor,"• Significado: Medida o dimensión de un cuerpo en su sección transversal<br>• Traducción: Thickness<br>• Clasificación por contextos:<br> - Papel: Fino - Medio - Grueso (""Papel de 80/120/250 gramos"")<br> - Telas: Liviano - Medio - Pesado (""Tela liviana para verano"")<br> - Cortes de comida: Fino - Mediano - Grueso (""Cortar en rodajas finas"")<br>• Expresiones comunes:<br> - ""Ajustar el grosor"" (Adjust the thickness)<br> - ""Grosor variable"" (Variable thickness)<br> - ""Grosor uniforme"" (Uniform thickness)"
Propiedades Físicas,Términos relacionados con grosor,"• Espesor: Prácticamente sinónimo, más formal (Thickness - formal)<br>• Calibre: Medida estandarizada de grosor (Gauge, caliber)<br>• Densidad: Relación masa/volumen (Density)<br>• Consistencia: Cualidad de firmeza o fluidez (Consistency)<br>• Ancho: Dimensión horizontal (Width)<br>• Profundidad: Dimensión interior (Depth)"
Términos de Líquidos,Derrame,"• Significado: Acción y efecto de derramarse un líquido o material fluido<br>• Traducción: Spill, leakage<br>• Tipos de derrames por contexto:<br> - Doméstico: ""Derrame de leche en la cocina"" (Milk spill in the kitchen)<br> - Industrial: ""Derrame de productos químicos"" (Chemical spill)<br> - Ambiental: ""Derrame de petróleo en el mar"" (Oil spill in the sea)<br> - Médico: ""Sufrió un derrame cerebral"" (Had a stroke)"
Términos de Líquidos,Verbos relacionados con derrames,"• Gotear: Caer en gotas - intensidad mínima (To drip)<br> - ""El grifo gotea"" (The faucet drips)<br>• Chorrear: Fluir en hilo continuo - intensidad baja-media (To trickle, to stream)<br> - ""La pintura chorrea por la pared"" (The paint streams down the wall)<br>• Derramar: Verter un líquido - intensidad media (To spill)<br> - ""Derramó el vino sobre el mantel"" (He spilled wine on the tablecloth)<br>• Desbordar: Rebasar los límites - intensidad muy alta (To overflow)<br> - ""El río desbordó sus orillas"" (The river overflowed its banks)"
Acciones Físicas,Restregar vs. Frotar,"• Restregar:<br> - Intensidad: Mayor, más enérgico<br> - Traducción: To scrub<br> - Presión aplicada: Alta<br> - Movimiento: Ida y vuelta repetido, insistente<br> - Ejemplo: ""Restregar las ollas con residuos quemados"" (Scrub pots with burnt residue)<br>• Frotar:<br> - Intensidad: Variable, puede ser suave<br> - Traducción: To rub<br> - Presión aplicada: Media a baja<br> - Movimiento: Circular o lineal, más controlado<br> - Ejemplo: ""Frotar la piel con crema hidratante"" (Rub skin with moisturizer)"
Acciones Físicas,Verbos relacionados por intensidad,"• Acariciar: Muy suave (To caress)<br> - ""Acariciar el tejido de seda"" (Caress the silk fabric)<br>• Rozar: Mínimo contacto (To graze, to brush)<br> - ""Rozar la superficie con los dedos"" (Brush the surface with fingers)<br>• Frotar: Suave a medio (To rub)<br> - ""Frotar una moneda para que brille"" (Rub a coin to make it shine)<br>• Restregar: Intenso (To scrub)<br> - ""Restregar la mancha de tinta"" (Scrub the ink stain)<br>• Fregar: Muy intenso (To scrub vigorously)<br> - ""Fregar el suelo de rodillas"" (Scrub the floor on knees)"
Expresiones Visuales,Mirar brevemente,"• Echar un vistazo:<br> - Región: General<br> - Formalidad: Neutro<br> - Traducción: To take a look<br> - Ejemplo: ""Échale un vistazo a este documento"" (Take a look at this document)<br>• Echar un ojo:<br> - Región: España, general<br> - Formalidad: Informal<br> - Traducción: To keep an eye on<br> - Ejemplo: ""Échale un ojo a la sopa mientras vuelvo"" (Keep an eye on the soup while I'm gone)<br>• Dar una checada (México):<br> - Formalidad: Informal<br> - Traducción: To check<br> - Ejemplo: ""Dale una checada al coche antes del viaje"" (Check the car before the trip)"
