name,handle,category,instagram_url,youtube_url,website_url,description
Mexican Consulate Houston,@consulmexhou,Diplomatic,,https://www.youtube.com/@ConsulmexHouston,,Mexican Consulate General in Houston
Mexican Consulate Chicago,@consulmexchi,Diplomatic,,https://www.youtube.com/@ConsulmexChicago,,Mexican Consulate General in Chicago
CDMX,@cdmx,Government,https://instagram.com/cdmx,https://www.youtube.com/@GobiernoCDMX,,Government of Mexico City (Ciudad de México)
Guadalajara,@guadalajaramx,Government,https://instagram.com/guadalajaramx,https://www.youtube.com/@GobiernoGuadalajara,,"Municipal Government of Guadalajara, Mexico"
Monterrey,@monterreymx,Government,https://instagram.com/monterreymx,https://www.youtube.com/@GobiernoMonterrey,,"Municipal Government of Monterrey, Mexico"
Universidad de Antioquia,@udea,Education,https://instagram.com/udea,,,University of Antioquia - Leading Colombian university in Medellín
Instituto Humboldt,@instituto_humboldt,Research,https://instagram.com/instituto_humboldt,,,Alexander von Humboldt Biological Resources Research Institute
La Profe Mónica,@laprofemonica,Language Learning,https://instagram.com/laprofemonica,,,Spanish language teacher sharing educational content
Museo del Oro,@museodeloro,Culture,https://instagram.com/museodeloro,,,Gold Museum of Colombia showcasing pre-Columbian artifacts
MAMM Medellín,@elmamm,Art,https://instagram.com/elmamm,,,Museum of Modern Art of Medellín
Biblioteca Luis Ángel Arango,@bibliotecaluisangelarango,Culture,https://instagram.com/bibliotecaluisangelarango,,,Major cultural library in Bogotá with events and exhibitions
Museo de Arte Moderno,@museodeartemoderno,Culture,https://instagram.com/museodeartemoderno,https://www.youtube.com/@MuseoArteModernoMX,,Museum of Modern Art showcasing contemporary Mexican and international art
MoMA,@museumofmodernart,Culture,https://instagram.com/museumofmodernart,https://www.youtube.com/@MoMAvideos,,Museum of Modern Art - world-renowned art museum in New York
IMCINE,@imcine,Culture,https://instagram.com/imcine,https://www.youtube.com/@IMCINEmx,,Mexican Institute of Cinematography - promoting Mexican cinema
El Corral,@elcorraloficial,Food,https://instagram.com/elcorraloficial,,,Colombian burger restaurant chain - local favorite
Colcafé,@colcafe,Food,https://instagram.com/colcafe,,,Colombian coffee brand and culture
Visit Bogotá,@visitbogota.co,Travel,https://instagram.com/visitbogota.co,,,Official Bogotá tourism account with city highlights
Visitar Medellín,@visitarmedellin,Travel,https://instagram.com/visitarmedellin,,,Medellín tourism and local experiences
Medellín Guru,@medellin_guru,Travel,https://instagram.com/medellin_guru,,,Comprehensive Medellín travel guide and tips
Parques Nacionales,@parquescolombia,Nature,https://instagram.com/parquescolombia,,,National Parks of Colombia - natural beauty and conservation
Visit Mexico,@visitmexico,Tourism,https://instagram.com/visitmexico,https://www.youtube.com/@VisitMexico,,Official tourism promotion of Mexico - destinations and experiences
Colombia Travel,@colombiatravel,Tourism,https://instagram.com/colombiatravel,https://www.youtube.com/@colombiatravel,,Official tourism promotion of Colombia - showcasing the country's beauty
Nómada Frustrada,@nomadafrustrada,Travel,https://instagram.com/nomadafrustrada,,,Digital nomad travel content and lifestyle
Viajando Empelota,@viajandoempelota,Travel,https://instagram.com/viajandoempelota,,,Backpacking adventures across Latin America
Bogotá Comidas,@bogotacomidas,Food,https://instagram.com/bogotacomidas,,,Food guide and restaurant recommendations in Bogotá
Bogotá Plan,@bogotaplan,Culture,https://instagram.com/bogotaplan,,,"Events, culture, and activities in Bogotá"
Colombian Family,@colombianfamily,Lifestyle,https://instagram.com/colombianfamily,,,Colombian family travel and lifestyle content
Visit Peru,@visitperu,Tourism,,https://www.youtube.com/@visitperu,,Official tourism promotion of Peru
Chile Travel,@chiletravel,Tourism,,https://www.youtube.com/@chiletravel,,Official tourism promotion of Chile
Visit Panama,@visitpanama,Tourism,,https://www.youtube.com/@visitpanama,,Official tourism promotion of Panama
Visit Costa Rica,@visitcostarica,Tourism,,https://www.youtube.com/@visitcostarica,,Official tourism promotion of Costa Rica
Ecuador Travel,@ecuadortravel,Tourism,,https://www.youtube.com/@ecuadortravel,,Official tourism promotion of Ecuador
Visit Argentina,@visitargentina,Tourism,,https://www.youtube.com/@visitargentina,,Official tourism promotion of Argentina
Brasil Turismo,@brasilturismo,Tourism,,https://www.youtube.com/@brasilturismo,,Official tourism promotion of Brazil
Uruguay Natural,@uruguaynatural,Tourism,,https://www.youtube.com/@uruguaynatural,,Official tourism promotion of Uruguay
Museo Nacional Mexico,@museonacional,Culture,,https://www.youtube.com/@museonacionalmx,,National Museum of Mexico showcasing Mexican history and culture
MALBA,@malba,Culture,,https://www.youtube.com/@malbamuseo,,Museum of Latin American Art of Buenos Aires
Museo Larco,@museolarco,Culture,,https://www.youtube.com/@museolarco,,"Museum showcasing pre-Columbian art in Lima, Peru"
Museo Botero,@museobotero,Culture,,https://www.youtube.com/@museobotero,,Museum dedicated to Fernando Botero's works in Bogotá
Museo de Antropología,@museoantropo,Culture,,https://www.youtube.com/@museoantropologia,,National Museum of Anthropology showcasing ancient cultures
Museo del Prado,@museodelprado,Culture,,https://www.youtube.com/@museodelprado,,Spain's premier art museum in Madrid
Museo Reina Sofía,@museoreinasofia,Culture,,https://www.youtube.com/@museoreinasofia,,Spanish national museum of modern and contemporary art
MNA,@mna,Culture,,https://www.youtube.com/@museonacionaldeantropologia,,National Museum of Anthropology - Mexico's premier archaeological museum
INAH México,@inahmx,Culture,,https://www.youtube.com/@INAHTV,,National Institute of Anthropology and History of Mexico
INBA,@inba,Culture,,https://www.youtube.com/@INBAmx,,National Institute of Fine Arts and Literature of Mexico
Museo Frida Kahlo,@museofridakahlo,Culture,,https://www.youtube.com/@museofridakahlo,,Casa Azul - Frida Kahlo Museum in Mexico City
MUNAL,@munal,Culture,,https://www.youtube.com/@munal_mx,,National Art Museum of Mexico
Museo Evita,@museoevita,Culture,,https://www.youtube.com/@museoevita,,Museum dedicated to Eva Perón in Buenos Aires
MNBA Chile,@mnba,Culture,,https://www.youtube.com/@museobellasarteschile,,National Museum of Fine Arts of Chile
MAC Chile,@macchile,Culture,,https://www.youtube.com/@MACChile,,Museum of Contemporary Art of Chile
MAVI,@mavi,Culture,,https://www.youtube.com/@MAVISantiago,,"Museum of Visual Arts in Santiago, Chile"
MALI,@mali,Culture,,https://www.youtube.com/@museodeartedelima,,Lima Art Museum showcasing Peruvian art
Canal Once TV,@canaloncetv,Media,,https://www.youtube.com/@CanalOnceTV,,Mexican public television channel focusing on culture and education
Canal 22,@canal22,Media,,https://www.youtube.com/@Canal22,,Mexican cultural television channel
Televisa,@televisa,Media,,https://www.youtube.com/@televisa,,Mexico's largest media company and television network
Las Estrellas,@lasestrellas,Media,,https://www.youtube.com/@LasEstrellas,,Flagship entertainment channel of Televisa
Canal 5,@canal5,Media,,https://www.youtube.com/@Canal5,,Mexican television channel focusing on entertainment
Foro TV,@forotv,Media,,https://www.youtube.com/@ForoTV,,Mexican 24-hour news television channel
Azteca Uno,@aztecauno,Media,,https://www.youtube.com/@AztecaUno,,Flagship channel of TV Azteca Mexico
Azteca 7,@azteca7,Media,,https://www.youtube.com/@Azteca7,,Mexican television channel owned by TV Azteca
Imagen TV,@imagentv,Media,,https://www.youtube.com/@ImagenTelevisión,,Mexican television network focusing on news and entertainment
Multimedios,@multimedios,Media,,https://www.youtube.com/@multimedios,,Mexican media conglomerate with television and radio stations
Univision,@univision,Media,,https://www.youtube.com/@univision,,Leading Spanish-language television network in the United States
UniMás,@unimas,Media,,https://www.youtube.com/@UniMas,,Spanish-language television network in the United States
Galavisión,@galavision,Media,,https://www.youtube.com/@Galavision,,Spanish-language television network featuring entertainment programming
TUDN,@tudn,Sports,,https://www.youtube.com/@TUDN,,Spanish-language sports television network
Telemundo,@telemundo,Media,,https://www.youtube.com/@Telemundo,,Spanish-language television network in the United States
IPN México,@ipn,Education,,https://www.youtube.com/@IPN_MX,,National Polytechnic Institute of Mexico
UNAM,@unam,Education,,https://www.youtube.com/@UNAM_MX,,National Autonomous University of Mexico
UAM México,@uamx,Education,,https://www.youtube.com/@UAM_MX,,Metropolitan Autonomous University of Mexico
Tec de Monterrey,@itesm,Education,,https://www.youtube.com/@TecdeMonterrey,,Monterrey Institute of Technology and Higher Education
Universidad Nacional de Colombia,@unal,Education,,https://www.youtube.com/@universidadnacionaldecolombia,,National University of Colombia
Universidad de los Andes,@uniandes,Education,,https://www.youtube.com/@uniandes,,"University of the Andes in Bogotá, Colombia"
Pontificia Javeriana,@javeriana,Education,,https://www.youtube.com/@PontificiaJaveriana,,Pontifical Javeriana University in Colombia
UBA,@uba,Education,,https://www.youtube.com/@UBAonline,,"University of Buenos Aires, Argentina"
Universidad de Chile,@uchile,Education,,https://www.youtube.com/@uchile,,University of Chile in Santiago
PUC Chile,@pucchile,Education,,https://www.youtube.com/@pucchile,,Pontifical Catholic University of Chile
PUCP,@pucp,Education,,https://www.youtube.com/@pucp,,Pontifical Catholic University of Peru
USP,@usp,Education,,https://www.youtube.com/@canalusp,,"University of São Paulo, Brazil"
El Universal México,@eluniversal,News,,https://www.youtube.com/@ElUniversalMex,,Leading Mexican newspaper and news organization
Reforma,@reforma,News,,https://www.youtube.com/@reforma,,Mexican daily newspaper covering national and international news
Milenio Noticias,@milenio,News,,https://www.youtube.com/@MilenioNoticias,,Mexican multimedia news organization
Excélsior,@excelsior,News,,https://www.youtube.com/@ExcelsiorMex,,Mexican newspaper and news organization
El Financiero,@elfinanciero,News,,https://www.youtube.com/@ElFinancieroTV,,Mexican business and financial news organization
La Jornada,@jornada,News,,https://www.youtube.com/@LaJornadaOnLine,,Mexican daily newspaper with progressive editorial stance
Proceso,@proceso,News,,https://www.youtube.com/@procesomx,,Mexican weekly news magazine focusing on investigative journalism
El Tiempo,@eltiempo,News,,https://www.youtube.com/@eltiempo,,Colombia's leading newspaper and news organization
El Espectador,@elespectador,News,,https://www.youtube.com/@ElEspectador,,Colombian newspaper with focus on investigative journalism
Revista Semana,@semana,News,,https://www.youtube.com/@RevistaSemana,,Colombian weekly news magazine covering politics and current affairs
Clarín,@clarin,News,,https://www.youtube.com/@clarin,,Argentina's leading newspaper and news organization
La Nación,@lanacion,News,,https://www.youtube.com/@lanacion,,Argentine daily newspaper with conservative editorial stance
El Comercio,@elcomercio,News,,https://www.youtube.com/@elcomercio,,Leading Peruvian newspaper and news organization
El Mercurio,@elmercurio,News,,https://www.youtube.com/@ElMercurioChile,,Chile's oldest and most influential newspaper
La Tercera,@latercera,News,,https://www.youtube.com/@latercera,,Chilean daily newspaper covering national and international news
Liga MX,@ligamx,Sports,,https://www.youtube.com/@LigaMX,,Mexican professional football league
Selección Colombia,@fcfseleccioncol,Sports,,https://www.youtube.com/@FCFSeleccionCol,,Colombian national football team
AFA Argentina,@afa,Sports,,https://www.youtube.com/@AFASeleccion,,Argentine Football Association and national team
ANFP Chile,@anfp,Sports,,https://www.youtube.com/@ANFPChile,,National Association of Professional Football of Chile
FPF Perú,@fpf,Sports,,https://www.youtube.com/@FPFOficial,,Peruvian Football Federation
FMF México,@fedmexfut,Sports,,https://www.youtube.com/@FedMexFut,,Mexican Football Federation
Volaris,@volaris,Transportation,,https://www.youtube.com/@volarisoficial,,Mexican low-cost airline
VivaAerobus,@vivaaerobus,Transportation,,https://www.youtube.com/@VivaAerobus,,Mexican low-cost airline
Avianca,@avianca,Transportation,,https://www.youtube.com/@avianca,,Colombian flagship airline serving Latin America
LATAM Airlines,@latam,Transportation,,https://www.youtube.com/@LATAM,,Latin American airline group serving the region
Copa Airlines,@copa,Transportation,,https://www.youtube.com/@CopaAirlines,,Panamanian airline with extensive Latin American network
BBVA México,@bbvamexico,Banking,,https://www.youtube.com/@BBVAMexico,,Spanish multinational bank operating in Mexico
Santander México,@santandermexico,Banking,,https://www.youtube.com/@SantanderMexico,,Spanish bank's Mexican operations
Scotiabank México,@scotiabank,Banking,,https://www.youtube.com/@ScotiabankMexico,,Canadian bank's Mexican operations
HSBC México,@hsbc,Banking,,https://www.youtube.com/@HSBCMexico,,British bank's Mexican operations
Davivienda,@davivienda,Banking,,https://www.youtube.com/@Davivienda,,Colombian commercial bank
Metro CDMX,@metrocdmx,Transportation,,https://www.youtube.com/@MetroCDMX,,Mexico City Metro system
Metro Medellín,@metromedellin,Transportation,,https://www.youtube.com/@metrodemedellin,,Medellín Metro system in Colombia
Metro Santiago,@metrosantiago,Transportation,,https://www.youtube.com/@metrodesantiago,,Santiago Metro system in Chile
Metro Lima,@metrolima,Transportation,,https://www.youtube.com/@MetrodeLima,,Lima Metro system in Peru
Metro Quito,@metroquito,Transportation,,https://www.youtube.com/@MetroQuito,,Quito Metro system in Ecuador
TransMilenio,@transmilenio,Transportation,,https://www.youtube.com/@TransMilenio,,Bogotá's bus rapid transit system
Teatro Colón Bogotá,@teatrocolonbogota,Culture,,https://www.youtube.com/@teatrocolonbogota,,Historic opera house and cultural venue in Bogotá
Teatro Colón,@teatrocolon,Culture,,https://www.youtube.com/@teatrocolon,,"Famous opera house in Buenos Aires, Argentina"
Teatro Solís,@teatrosolis,Culture,,https://www.youtube.com/@teatrosolis,,Principal theater of Uruguay in Montevideo
CENART,@cenart,Culture,,https://www.youtube.com/@CENART_MX,,National Center for the Arts of Mexico
CCE México,@ccemx,Culture,,https://www.youtube.com/@CCEMx,,Cultural Center of Spain in Mexico
Casa de América,@casaamerica,Culture,,https://www.youtube.com/@CasaAmerica,,Institution promoting Ibero-American culture in Spain
Biblioteca Nacional Colombia,@bibliotecanalco,Culture,,https://www.youtube.com/@BibliotecaNacionalColombia,,National Library of Colombia
Biblioteca Nacional Chile,@bibliotecanalchile,Culture,,https://www.youtube.com/@bibliotecanacionaldechile,,National Library of Chile
Biblioteca Nacional Argentina,@bibliotecanalargentina,Culture,,https://www.youtube.com/@BibliotecaNacionalArgentina,,National Library of Argentina
Biblioteca Vasconcelos,@bibliotecavasconcelos,Culture,,https://www.youtube.com/@BibliotecaVasconcelos,,José Vasconcelos Library in Mexico City
Liverpool,@liverpool,Retail,,https://www.youtube.com/@Liverpool,,Mexican luxury department store chain
El Palacio de Hierro,@palaciodehierro,Retail,,https://www.youtube.com/@ElPalacioDeHierro,,Mexican upscale department store chain
Sanborns,@sanborns,Retail,,https://www.youtube.com/@Sanborns,,Mexican retail chain with restaurants and stores
OXXO,@oxxo,Retail,,https://www.youtube.com/@OXXOTiendas,,Mexican convenience store chain
Elektra,@elektra,Retail,,https://www.youtube.com/@Elektra,,Mexican retail chain specializing in electronics and appliances
Coppel,@coppel,Retail,,https://www.youtube.com/@Coppel,,Mexican retail chain with credit services
Falabella,@falabella,Retail,,https://www.youtube.com/@Falabella,,Chilean multinational retail chain in Latin America
Almacenes Éxito,@exito,Retail,,https://www.youtube.com/@almacenesexito,,Colombian retail chain and supermarket company
Estado de México,@edomex,Government,,https://www.youtube.com/@GobiernoEdoMex,,Government of the State of Mexico
Nuevo León,@nuevoleon,Government,,https://www.youtube.com/@nuevoleon,,Government of Nuevo León state in Mexico
Jalisco,@jalisco,Government,,https://www.youtube.com/@GobiernoJalisco,,Government of Jalisco state in Mexico
Puebla,@puebla,Government,,https://www.youtube.com/@GobiernoPuebla,,Government of Puebla state in Mexico
Veracruz,@veracruz,Government,,https://www.youtube.com/@GobiernoVeracruz,,Government of Veracruz state in Mexico
Oaxaca,@oaxaca,Government,,https://www.youtube.com/@GobiernoOaxaca,,Government of Oaxaca state in Mexico
Chiapas,@chiapas,Government,,https://www.youtube.com/@GobiernoChiapas,,Government of Chiapas state in Mexico
Yucatán,@yucatan,Government,,https://www.youtube.com/@GobiernoYucatan,,Government of Yucatán state in Mexico
Querétaro,@queretaro,Government,,https://www.youtube.com/@GobiernoQueretaro,,Government of Querétaro state in Mexico
Guanajuato,@guanajuato,Government,,https://www.youtube.com/@GobiernoGuanajuato,,Government of Guanajuato state in Mexico
Cundinamarca,@cundinamarca,Government,,https://www.youtube.com/@GobCundinamarca,,Government of Cundinamarca department in Colombia
Antioquia,@antioquia,Government,,https://www.youtube.com/@GobAntioquia,,Government of Antioquia department in Colombia
Valle del Cauca,@valledelcauca,Government,,https://www.youtube.com/@GobValle,,Government of Valle del Cauca department in Colombia
Atlántico,@atlantico,Government,,https://www.youtube.com/@GobAtlantico,,Government of Atlántico department in Colombia
Santander,@santander,Government,,https://www.youtube.com/@GobSantander,,Government of Santander department in Colombia
Bolívar,@bolivar,Government,,https://www.youtube.com/@GobBolivar,,Government of Bolívar department in Colombia
Casa Real TV,@casarealtv,Government,,https://www.youtube.com/@casarealtv,,Official channel of the Spanish Royal House
Instituto Cervantes,@institutocervantes,Culture,,https://www.youtube.com/@institutocervantes,,Spanish government institution promoting Spanish language and culture worldwide
TV Senado,@tvsenado,Government,,https://www.youtube.com/@tvsenado,,Television channel of the Mexican Senate
Canal del Congreso,@canaldelcongreso,Government,,https://www.youtube.com/@canaldelcongreso,,Television channel of the Mexican Congress
Policía Nacional Colombia,@policianalco,Government,,https://www.youtube.com/@policianalco,,Colombian National Police
Guardia Nacional México,@guardianacionalmx,Government,,https://www.youtube.com/@guardianacionalmx,,Mexican National Guard
Ejército Mexicano,@ejercitomexicano,Government,,https://www.youtube.com/@ejercitomexicano,,Mexican Army
Festival Cervantino,@cervantino,Culture,,https://www.youtube.com/@cervantino,,"International Cervantino Festival in Guanajuato, Mexico"
Vive Latino,@vivelatino,Culture,,https://www.youtube.com/@vivelatino,,Latin American music festival in Mexico City
Rock al Parque,@rockalsparque,Culture,,https://www.youtube.com/@rockalsparque,,"Free rock festival in Bogotá, Colombia"
Club América,@america,Sports,,https://www.youtube.com/@america,,Mexican professional football club from Mexico City
Chivas,@chivas,Sports,,https://www.youtube.com/@chivas,,Club de Fútbol Guadalajara professional football team
Pumas UNAM,@pumas,Sports,,https://www.youtube.com/@pumas,,Mexican professional football club affiliated with UNAM
Boca Juniors,@boca,Sports,,https://www.youtube.com/@boca,,Argentine professional football club from Buenos Aires
River Plate,@river,Sports,,https://www.youtube.com/@river,,Argentine professional football club from Buenos Aires
W Radio,@wradio,Media,,https://www.youtube.com/@wradio,,Colombian radio network with news and entertainment
Radio Fórmula,@radioformula,Media,,https://www.youtube.com/@radioformula,,Mexican radio network with news and talk shows
Caracol Radio,@caracolradio,Media,,https://www.youtube.com/@caracolradio,,Colombian radio network with news and entertainment
Grupo Modelo,@grupomodelo,Food,,https://www.youtube.com/@grupomodelo,,Mexican brewery company producing Corona and other beers
Corona,@corona,Food,,https://www.youtube.com/@corona,,Mexican beer brand popular worldwide
Grupo Bimbo,@bimbo,Food,,https://www.youtube.com/@bimbo,,Mexican multinational bakery company
