Divertido	Funny	Que causa risa o entretiene.	Contenido divertido, estilo divertido																					
Divertirse con	To have fun	Disfrutar de una actividad placentera o relajante.	Divertirse con amigos, divertirse en un evento																					
Dividir en	To divide into	Separar un todo en partes o segmentos.	Dividir en grupos, dividir en categorías																					
Dividir gastos	To split costs	Repartir el costo de algo entre varias personas.	Dividir gastos del viaje, dividir gastos de la cena																					
Dividirse en	To divide oneself into	Separarse o dividirse en partes o grupos, ya sea físicamente o metafóricamente.	Dividirse en equipos, dividirse en opiniones																					
Dormirse	To fall asleep / To doze off	Pasar del estado de vigilia al sueño; puede ocurrir intencionalmente o accidentalmente.	Dormirse en clase, dormirse rápido																					
Ducharse	To shower oneself	Lavarse el cuerpo bajo un chorro de agua, generalmente por razones de higiene.	Ducharse rápido, ducharse diariamente																					
Dudar de	To doubt	Sentir incertidumbre o falta de confianza hacia algo o alguien.	Dudar de una respuesta, dudar de una decisión																					
Echar de menos	To miss (someone/something)	Extrañar a alguien o algo.	Echar de menos a un amigo, echar de menos el pasado																					
Echar una mano	To lend a hand	Ayudar a alguien.	Echar una mano con el trabajo, echar una mano a un vecino																					
El abrillantador	The polish	Sustancia que se aplica para dar brillo a superficies como muebles y metales.	Usar abrillantador, aplicar abrillantador																					
El almacén	Storage room	Espacio destinado a guardar mercancías o materiales.	Organizar el almacén, acceso al almacén																					
El aprendizaje	Learning	Proceso por el cual se adquieren conocimientos, habilidades o valores.	Proceso de aprendizaje, aprendizaje autónomo																					
El Aprendizaje de Servicio Comunitario	Community Service Learning	Mediante el Aprendizaje de Servicio Comunitario, los alumnos colaboran con organizaciones locales y desarrollan habilidades sociales.	Participar en Aprendizaje de Servicio Comunitario																					
El arco	Arch	Estructura curva que sostiene un peso o adorna un espacio.	Construir un arco, diseño de arco																					
El armario empotrado	Built-in closet	Espacio cerrado dentro de una pared para almacenar objetos.	Instalar armario empotrado, diseño de armario empotrado																					
El ascensor	Elevator	Máquina que transporta personas o cargas entre diferentes niveles de un edificio.	Subir en el ascensor, esperar el ascensor																					
El atletismo	Athletics	El departamento de Atletismo ofrece competencias en distintas disciplinas deportivas.	Practicar atletismo, competencias de atletismo																					
El balcón	Balcony	Espacio abierto adjunto a una habitación con barandas de protección.	Salir al balcón, decorar el balcón																					
El baño	Bathroom	Espacio destinado al aseo personal.	Limpiar el baño, remodelar el baño																					
El batidor	Whisk	Herramienta utilizada para mezclar ingredientes y airear mezclas.	Usar un batidor, batidor de acero inoxidable																					
El Campus de Marin	Marin Campus	El Campus de Marin se sitúa en el condado de Marin y está vinculado al Seminario Teológico.	Visitar el Campus de Marin, seminarios en el Campus de Marin																					
El Campus de Redlands	Redlands Campus	El Campus de Redlands es la ubicación principal de la universidad, con la mayoría de las facultades.	Estudiar en el Campus de Redlands, eventos en el campus																					
El Campus Regional de Riverside	Regional Campus in Riverside	El Campus Regional de Riverside proporciona acceso a programas y clases para quienes viven en la zona.	Tomar clases en el Campus Regional de Riverside																					
El Centro de Éxito Estudiantil	Student Success Center	Puedes recibir tutoría, asesoría y apoyo académico personalizado.	Consultar en el Centro de Éxito Estudiantil, tutorías académicas																					
El cepillo de mano	The hand brush	Cepillo pequeño con cerdas duras, usado para limpiar suciedad incrustada.	Cepillar con un cepillo de mano, limpiar con cepillo																					
El cine	Film	The art of creating motion pictures.	Cine clásico, industria del cine																					
El clima	The climate	Conjunto de condiciones atmosféricas propias de una región.	Estudiar el clima, cambio climático																					
El coaching	Coaching	Entrenamiento o tutoría personalizada para el desarrollo profesional o personal.	Sesiones de coaching, coaching ejecutivo																					
El comedor	Dining room	Espacio destinado a comer, usualmente con una mesa y sillas.	Decorar el comedor, mesa del comedor																					
El contenido viral	Viral content	Publicación que se comparte masivamente en poco tiempo.	Crear contenido viral, estrategias de contenido viral																					
El cubo	The bucket	Recipiente empleado para contener agua y productos de limpieza.	Llenar el cubo, limpiar con un cubo																					
El cuchillo	Knife	Herramienta utilizada para cortar y preparar alimentos. Instrumento con una hoja afilada unida a un mango.	Afilado de cuchillos, cortar con un cuchillo																					
El currículo	Curriculum	Plan de estudios o guía utilizada para estructurar la enseñanza.	Diseñar un currículo, currículo educativo																					
El debate	Debate	Intercambio de ideas o argumentos.	Participar en un debate, moderar un debate																					
El desafío	Challenge	Actividad que invita a participar y competir.	Participar en desafíos, superar un desafío																					
El desarrollo de programas	Program development	The process of creating structured plans for educational or other initiatives.	Liderar el desarrollo de programas, planificación de programas																					
El desinfectante	The disinfectant	Sustancia que destruye microorganismos para desinfectar superficies.	Usar desinfectante, desinfectante en spray																					
El destornillador	Screwdriver	Herramienta usada para girar tornillos y fijarlos.	Usar destornillador, destornillador plano																					
El detergente	The detergent	Producto químico utilizado para eliminar suciedad y grasa de diversas superficies.	Usar detergente, detergente líquido																					
El día	The day	Unidad de tiempo equivalente a 24 horas.	Planear el día, actividades diarias																					
El diseño de interiores	Interior design	The art and science of enhancing interior spaces.	Estudiar diseño de interiores, proyectos de interiores																					
El dormitorio	Bedroom	Espacio personal destinado a dormir y descansar.	Decorar el dormitorio, cama del dormitorio																					
El EdTech	EdTech	Tecnología educativa enfocada en el aprendizaje en línea y digital.	Innovación en EdTech, plataformas de EdTech																					
El efecto sorpresa	Surprise effect	Algo inesperado que llama la atención.	Crear efecto sorpresa, impacto sorpresa																					
El entorno creativo	Creative environment	A setting that fosters imagination and originality.	Crear un entorno creativo, fomentar un entorno creativo																					
El ESL	English as a Second Language	A program focused on teaching English to non-native speakers.	Programas de ESL, aprendizaje de ESL																					
El ESP	English for Specific Purposes	Teaching English tailored to specific professional or academic needs.	Cursos de ESP, habilidades en ESP																					
El estudio	Study / home office	Espacio dentro de una vivienda destinado a trabajar o estudiar.	Organizar el estudio, muebles de estudio																					
El éxito	Success	Logro de un objetivo o meta.	Tener éxito, alcanzar el éxito																					
El feed	Feed	La colección de publicaciones visibles al navegar por una red social.	Explorar el feed, actualizar el feed																					
El formón	Chisel	Herramienta de carpintería para tallar madera.	Tallar con un formón, afilar el formón																					
El garaje	Garage	Espacio destinado a guardar vehículos o herramientas.	Limpiar el garaje, organizar el garaje																					
El gato de carpintería	Carpenter's clamp	Dispositivo que mantiene las piezas firmes mientras se trabaja.	Usar gato de carpintería, fijar con un gato de carpintería																					
El gimnasio	Gym	Lugar equipado para hacer ejercicio físico.	Ir al gimnasio, rutina en el gimnasio																					
El gobierno chino	Chinese government	Autoridades políticas que rigen en China.	Decisiones del gobierno chino, relaciones con el gobierno chino																					
El hashtag	Hashtag	Etiqueta que agrupa contenido relacionado por tema o palabra clave.	Crear un hashtag, usar hashtags populares																					
El horno	Oven	Electrodoméstico para cocinar y hornear alimentos mediante calor seco.	Usar el horno, recetas para horno																					
El humor	Humor	Elementos cómicos que generan diversión.	Sentido del humor, comedia y humor																					
El idioma	The language	Sistema de comunicación verbal propio de una comunidad.	Aprender un idioma, estudiar idiomas																					
El impacto	Impact	The strong effect or influence something has.	Crear impacto, medir impacto																					
El inglés con fines específicos (ESP)	English for Specific Purposes (ESP)	Teaching English tailored to specific professional or academic needs.	Cursos de ESP, habilidades específicas																					
El inglés para fines académicos	English for academic purposes	Enseñanza del inglés enfocado en contextos académicos.	Programas de inglés para fines académicos																					
El inglés profesional	Professional English	Enseñanza del inglés para contextos laborales y profesionales.	Mejorar el inglés profesional, inglés técnico																					
El jardín comunitario	Community garden	Espacio compartido donde los vecinos cultivan plantas y alimentos.	Participar en el jardín comunitario, cuidar el jardín																					
El like	Like	Interacción que indica que algo te gusta o apruebas.	Dar un like, recibir likes																					
El limpiacristales	The glass cleaner	Producto diseñado para limpiar vidrios y superficies de cristal, dejando un acabado brillante.	Usar limpiacristales, aplicar limpiacristales																					
El mapa	The map	Representación gráfica de una región o lugar.	Consultar el mapa, trazar rutas en el mapa																					
El mapa del Campus	Campus Map	Te ayuda a ubicar edificios, salones y oficinas antes de tu primera clase.	Consultar el mapa del campus, buscar salones en el mapa																					
El marco	Frame	Estructura que sostiene y realza una obra de arte, fotografía o espejo.	Colocar un marco, marco de madera																					
El martillo	Hammer	Herramienta utilizada para clavar clavos o golpear objetos.	Usar martillo, clavar con martillo																					
El meme	Meme	Imagen o video humorístico que se comparte ampliamente.	Crear memes, compartir memes																					
El microondas	Microwave	Electrodoméstico para calentar y cocinar alimentos rápidamente mediante ondas de microondas.	Cocinar en microondas, calentar comida en el microondas																					
El motivo	Reason	Razón o causa que explica una decisión o acción.	Encontrar un motivo, explicar el motivo																					
El nivel	Level	Herramienta que mide la horizontalidad de una superficie.	Usar nivel para medir, comprobar con nivel																					
El nivel de burbuja	Bubble level	Instrumento que verifica si algo está nivelado.	Medir con nivel de burbuja, instalar nivel																					
El organizador de cajones	Drawer organizer	Accesorio para mantener ordenados los utensilios y herramientas en los cajones de la cocina.	Comprar un organizador de cajones, organizar utensilios																					
El papel de lija	Sandpaper	Material abrasivo usado para alisar o pulir superficies.	Lijar madera con papel, comprar papel de lija																					
El parqueadero	Parking lot/area	Espacio destinado al estacionamiento de vehículos.	Buscar parqueadero, estacionar en el parqueadero																					
El pasillo	Hallway	Espacio de tránsito dentro de un edificio que conecta habitaciones o áreas.	Cruzar el pasillo, decoración del pasillo																					
El pasillo de entrada / el lobby	Entryway	Área de acceso principal a una casa o edificio.	Diseñar el lobby, entrada principal																					
El patio interior	Inner courtyard	Espacio abierto y rodeado por un edificio, usado para recreación o descanso.	Decorar el patio interior, disfrutar el patio interior																					
El pelador	Peeler	Herramienta usada para quitar la piel de frutas y verduras. Generalmente tiene una hoja afilada y un mango ergonómico.	Usar pelador, pelador de cocina																					
El perfil	Profile	Página personal de un usuario que muestra su información y actividades.	Actualizar perfil, visitar perfiles																					
El planeta	The planet	Cuerpo celeste que gira alrededor de una estrella.	Proteger el planeta, explorar el planeta																					
El plumero	The duster	Herramienta manual para quitar el polvo de muebles y objetos delicados.	Usar plumero, plumero de plumas																					
El poema	The poem	Obra literaria compuesta en verso o prosa con intención estética.	Escribir un poema, recitar un poema																					
El problema	The problem	Cuestión o situación que requiere una solución.	Resolver un problema, analizar el problema																					
El programa	The program	Conjunto de actividades o contenidos planificados.	Desarrollar el programa, inscribirse en el programa																					
El Programa de Embajadores Bulldog	Bulldog Ambassador Program	Fomenta el liderazgo y la promoción de la universidad a través de sus estudiantes.	Participar en el Programa de Embajadores, eventos del programa																					
El quitamanchas	The stain remover	Producto químico que ayuda a eliminar manchas difíciles de textiles o superficies.	Aplicar quitamanchas, comprar quitamanchas																					
El recogedor	The dustpan	Utensilio usado junto con la escoba para recoger la suciedad barrida.	Usar recogedor, recoger polvo																					
El remix	Remix	Versiones editadas o reinterpretadas.	Crear un remix, escuchar un remix																					
El rodapié	Baseboard	Tira decorativa que cubre la unión entre el suelo y la pared.	Instalar rodapié, pintar el rodapié																					
El salón de eventos	Events room	Espacio designado para reuniones, celebraciones o conferencias.	Reservar el salón de eventos, organizar eventos																					
El seguidor	Follower	Persona que sigue a otra para ver sus actualizaciones.	Ganar seguidores, interactuar con seguidores																					
El Seminario Teológico de San Francisco	San Francisco Theological Seminary	Ofrece estudios teológicos avanzados y está afiliado a la Universidad de Redlands.	Estudiar en el seminario, cursos teológicos avanzados																					
El serrucho	Handsaw	Herramienta manual con una hoja dentada usada para cortar madera de forma precisa.	Usar serrucho, cortar con serrucho																					
El sistema	The system	Conjunto de elementos organizados para un fin común.	Implementar el sistema, analizar sistemas																					
El software	Software	Programa o conjunto de instrucciones para computadoras.	Instalar software, desarrollo de software																					
El sótano	Basement	Área subterránea de una edificación, usada para almacenamiento o actividades.	Renovar el sótano, almacenamiento en el sótano																					
El suavizante de ropa	The fabric softener	Líquido que se añade durante el lavado de ropa para suavizar las telas.	Usar suavizante de ropa, comprar suavizante																					
El suelo	Floor	Superficie sobre la que se camina en un espacio.	Limpiar el suelo, barrer el suelo																					
El taladro	Drill	Herramienta eléctrica para perforar agujeros en diversos materiales.	Perforar con taladro, usar un taladro																					
El tazón para mezclar	Mixing bowl	Recipiente utilizado para mezclar ingredientes. Disponible en varios tamaños y materiales como vidrio o acero inoxidable.	Comprar tazón para mezclar, usar tazón de acero inoxidable																					
El techo	Ceiling	Superficie superior que cubre un espacio o habitación.	Pintar el techo, reparar el techo																					
El TEFL	TEFL	Enseñanza de inglés como lengua extranjera (Teaching English as a Foreign Language).	Cursos de TEFL, certificación TEFL																					
El tema	The theme	Asunto o materia de un discurso, escrito o conversación.	Elegir un tema, discutir el tema																					
El TESOL	TESOL	Enseñanza de inglés a hablantes de otros idiomas (Teaching English to Speakers of Other Languages).	Certificación TESOL, cursos TESOL																					
El timbre	Doorbell	Dispositivo que emite un sonido al ser activado para anunciar una visita.	Instalar un timbre, tocar el timbre																					
El Tour Virtual	Virtual Tour	Explorar el campus de forma interactiva sin estar presente.	Realizar un tour virtual, visitar campus virtualmente																					
El trabajo interesante	Interesting job	Empleo que resulta atractivo por su contenido o impacto.	Buscar un trabajo interesante, ofrecer trabajos interesantes																					
El trapo	The cloth / rag	Tela utilizada para limpiar superficies, eliminar polvo o absorber líquidos.	Usar trapo húmedo, limpiar con trapo																					
El vestíbulo	Lobby	Espacio de recepción en la entrada de un edificio.	Decorar el vestíbulo, esperar en el vestíbulo																					
El/La cantante	Singer	La persona que canta una canción.	Ser cantante, escuchar a un cantante																					
Elegante	Elegant	Que muestra buen gusto, refinamiento o sencillez.	Estilo elegante, vestido elegante																					
Emociona	Moves	Informar a la audiencia con datos o historias relevantes.	Historias que emocionan, contenido que emociona																					
Emocionante	Exciting	Que genera entusiasmo o alegría.	Momento emocionante, experiencia emocionante																					
Empapelar	To wallpaper	Cubrir paredes con papel decorativo.	Empapelar una habitación, diseño de empapelado																					
Emplear	To employ/use	Utilizar una herramienta específica para una tarea determinada.	Emplear estrategias, emplear un recurso																					
Emulsionar	To emulsify	Mezclar dos líquidos que normalmente no se combinan, como el aceite y el agua.	Emulsionar salsas, técnica para emulsionar																					
Enamorarse de	To fall in love with	Experimentar sentimientos de amor hacia alguien.	Enamorarse de alguien, enamorarse de una idea																					
Enamorarse de	To fall in love with	Desarrollar sentimientos profundos y románticos hacia alguien.	Enamorarse de un amigo, enamorarse a primera vista																					
Encontrarse con	To meet with	Encontrar a alguien por casualidad o según lo planeado.	Encontrarse con un amigo, encontrarse con el jefe																					
Enfadarse con	To get angry with	Perder la calma o la paciencia debido a acciones o comportamientos de alguien.	Enfadarse con un colega, enfadarse con una situación																					
Enfocarse en	To focus on	Concentrar la atención o el esfuerzo en un aspecto específico de una tarea o situación.	Enfocarse en los objetivos, enfocarse en el trabajo																					
Enfrentarse a	To face / To confront	Afrontar una situación difícil o desafiante.	Enfrentarse a problemas, enfrentarse a un desafío																					
