port,protocol,service,description,encrypted,category,risk_level,common_attacks
1521,TCP,Oracle,Oracle Database,No,Database,High,TNS poisoning
1701,UDP,L2TP,Layer 2 Tunneling Protocol,No,VPN,Medium,Requires IPSec
1723,TCP,PPTP,Point-to-Point Tunneling,Weak,VPN,High,Broken encryption
1883,TCP,MQTT,Message Queue Telemetry Transport,No,IoT,Medium,Unauthorized access
2049,TCP/UDP,NFS,Network File System,No,File Sharing,High,Unauthorized access
3000,TCP,Dev-Server,Common development port,No,Development,Medium,Exposed in production
3128,TCP,Squid,Squid Proxy,No,Proxy,Medium,Open proxy
3306,TCP,MySQL,MySQL Database,No,Database,High,"SQL injection, brute force"
3389,TCP,RDP,Remote Desktop Protocol,No,Remote Access,Critical,"Brute force, BlueKeep"
4369,TCP,EPMD,Erlang Port Mapper,No,Development,Low,Service discovery
5000,TCP,Flask,Flask default,No,Development,Medium,Debug mode exposure
5432,TCP,PostgreSQL,PostgreSQL Database,No,Database,High,Brute force
5672,TCP,AMQP,RabbitMQ,No,Messaging,Medium,Unauthorized access
5900,TCP,VNC,Virtual Network Computing,No,Remote Access,High,Weak authentication
5984,TCP,CouchDB,Apache CouchDB,No,Database,Medium,Admin party mode
6379,TCP,Redis,Redis Database,No,Database,High,No auth by default
6443,TCP,Kubernetes,Kubernetes API,Yes,Orchestration,Medium,Misconfiguration
6667,TCP,IRC,Internet Relay Chat,No,Chat,Medium,Botnet C&C
6697,TCP,IRC-SSL,IRC over SSL,Yes,Chat,Low,Still used by botnets
7000,TCP,Cassandra,Cassandra Internode,No,Database,Medium,Cluster compromise
8080,TCP,HTTP-Proxy,HTTP Proxy/Alternative,No,Web,Medium,Often unsecured
8086,TCP,InfluxDB,InfluxDB HTTP,No,Database,Medium,Time series injection
8443,TCP,HTTPS-Alt,Alternative HTTPS,Yes,Web,Low,Non-standard port
8883,TCP,MQTT-SSL,MQTT over SSL,Yes,IoT,Low,Certificate management
9042,TCP,Cassandra-Native,Cassandra Native,No,Database,Medium,NoSQL injection
9092,TCP,Kafka,Apache Kafka,No,Messaging,Medium,Message interception
9200,TCP,Elasticsearch,Elasticsearch HTTP,No,Database,High,Data exposure
9300,TCP,Elasticsearch-Transport,Elasticsearch Transport,No,Database,High,Cluster takeover
10050,TCP,Zabbix-Agent,Zabbix Agent,No,Monitoring,Low,Information disclosure
11211,TCP/UDP,Memcached,Memcached,No,Caching,High,Cache poisoning
27017,TCP,MongoDB,MongoDB Database,No,Database,High,NoSQL injection
51820,UDP,WireGuard,WireGuard VPN,Yes,VPN,Low,Modern secure design
